Cereal,Category,Taste,Price,Size,Calories,Fat,Fiber,Sugar
General Mills Total, Raisin Bran,76,22,1.00,180,1.00,5.00,20.00
Sam's American Choice, Raisin Bran,73,10,1.00,200,1.00,5.00,22.00
Kellogg's, Raisin Bran,73,14,1.00,170,1.00,7.00,18.00
Publix, Raisin Bran,70,10,0.75,253,1.33,8.00,21.33
Pathmark, Raisin Bran,67,11,0.75,253,1.33,9.33,22.67
Lady Lee (Lucky's), Raisin Bran,67,10,0.75,253,1.33,8.00,21.33
Pathmark Preferred Extra Raisin, Raisin Bran,67,16,0.75,280,1.33,10.67,26.67
Kountry Fresh (Winn Dixie), Raisin Bran,67,10,0.75,253,1.33,8.00,21.33
Post Premium, Raisin Bran,64,14,1.00,190,1.00,8.00,20.00
Stop & Shop, Raisin Bran,64,11,0.75,253,1.33,8.00,21.33
Janet Lee (Albertson's), Raisin Bran,64,12,0.75,253,1.33,8.00,21.33
Kroger, Raisin Bran,64,11,1.00,180,1.00,7.00,16.00
Safeway, Raisin Bran,64,13,1.25,160,0.80,5.60,14.40
Good Day (Albertson's), Raisin Bran,61,16,1.00,200,1.00,8.00,19.00
Jewel, Raisin Bran,61,11,1.00,180,1.00,7.00,16.00
America's Choice, Raisin Bran,55,14,1.00,180,1.00,7.00,16.00
Erewhon Whole Grain, Raisin Bran,55,23,1.00,170,1.00,6.00,8.80
